depth,threshold,feature,value
11,,,[42.  6.  3.  0.  5. 16.  0.  6.  0.  0.]
11,,,[17. 41.  2.  0.  6. 33.  0.  0.  0.  0.]
10,0.15687957406044006,1,
11,,,[  0.  46.  16.   0.   8. 123.   0.  12.   0.  56.]
11,,,[ 16.  34.  17.   0.  16.  98.   0.  22.   0. 146.]
9,0.2551697939634323,1,
10,0.478716105222702,3,
11,,,[ 0.  1.  3.  0.  1. 15.  0.  0.  0.  0.]
11,,,[ 0. 17.  1.  0.  0. 13.  0.  0.  0.  0.]
10,0.6089402437210083,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
11,,,[ 0.  0.  0.  0.  0. 19.  0.  0.  0.  0.]
8,0.7118748426437378,0,
9,0.5349147617816925,0,
10,0.5322083532810211,0,
11,,,[25. 35. 45.  0. 30. 85.  0.  7.  5.  0.]
11,,,[ 0.  0.  0.  0.  4.  3. 47.  0.  0.  0.]
10,-0.7146469056606293,2,
11,,,[ 16. 149.  71.   0.  39. 281.   0.  22.  21.  18.]
11,,,[13.  1.  0.  0.  3.  4.  0.  1.  0.  0.]
9,0.1877565234899521,1,
10,0.7211451232433319,0,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  5.  0. 25.]
11,,,[ 26.  53.  61.   0.  43. 160.   0.  46.   0. 135.]
10,0.23311225324869156,1,
11,,,[  9.  22.  15.   0.  17. 101.   0.  11.   0.   0.]
11,,,[13.  0.  1.  0.  5. 13.  0.  0.  0.  0.]
6,0.2600340247154236,1,
7,0.2581369876861572,1,
8,0.25805987417697906,1,
9,0.25749894976615906,1,
10,0.539979875087738,0,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[12.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
10,0.10224361531436443,3,
11,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
11,,,[0. 2. 0. 0. 3. 0. 0. 0. 0. 0.]
9,,,[0. 0. 7. 0. 0. 0. 0. 0. 0. 0.]
8,0.5694106817245483,0,
9,0.5302126407623291,0,
10,,,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
10,0.12016797065734863,3,
11,,,[ 0.  4.  0. 67.  0.  0.  0.  0.  0.  0.]
11,,,[  0.   0.   0. 212.   0.   2.   0.   0.   0.   0.]
9,-0.008575137704610825,3,
10,0.6587322950363159,0,
11,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
10,0.8238880634307861,0,
11,,,[0. 3. 0. 0. 7. 0. 0. 1. 0. 0.]
11,,,[0. 4. 0. 0. 0. 0. 0. 0. 0. 0.]
7,0.17128679901361465,3,
8,0.6594926714897156,0,
9,0.017212719190865755,3,
10,0.5464321076869965,0,
11,,,[ 51.  51. 111.   0.  48.  32.   0.  52.  19.  78.]
11,,,[  0.  34.  40. 145.  15.  30.   0.  17.  36.  14.]
10,0.6229057908058167,0,
11,,,[ 76. 132.  35. 152.  38.  57.   0.  15.   8. 117.]
11,,,[  0.  23.   8. 249.   1.   8.   0.   6.   0.   0.]
9,0.9900873005390167,0,
10,0.7043454945087433,0,
11,,,[  9.  59.  52.   0.  33.  29. 127.  11.   0.  57.]
11,,,[ 55.  41.  57.   0.  30.  27.   0.  26.   0. 234.]
10,,,[ 0.  0.  0.  0.  0.  0. 58.  0.  0.  0.]
8,0.39944271743297577,1,
9,0.36971084773540497,3,
10,-0.9820892214775085,2,
11,,,[  4. 110.  28.   0.  14.  12.   0.  26.   0.  28.]
11,,,[ 50. 379. 106. 153.  67. 137.   0.  65.   0. 210.]
10,0.33881743252277374,1,
11,,,[ 32. 303.  99. 390.  76. 368.   0.  49.  18.  82.]
11,,,[ 13. 450. 156.  18.  67. 216.  58.  43.  16.  91.]
9,0.5387395620346069,1,
10,0.47165629267692566,1,
11,,,[205. 270.  97. 226.  74. 237. 111.  80.  21.  21.]
11,,,[579. 212.  92.  30.  77. 251.  55.  96.   0. 106.]
