depth,threshold,feature,value
11,,,[0. 0. 1. 0. 5. 0. 0. 0. 0. 0.]
10,-0.6616101264953613,3,
11,,,[ 0.  0. 13.  0. 12.  0.  0.  4.  0.  0.]
11,,,[41.  0. 23.  0. 27.  0.  0. 20.  0.  0.]
8,0.887358546257019,2,
9,-0.6994324326515198,3,
10,0.2672518938779831,0,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
11,,,[11.  0.  9.  0. 16.  0.  0.  5.  0. 14.]
10,0.13610802218317986,1,
11,,,[12.  0.  3.  0.  0.  0.  0.  0.  0.  0.]
11,,,[ 0.  2.  0.  0.  5.  0.  0.  0. 43.  0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0. 12.  0.  0.]
7,0.5388218462467194,0,
8,-0.40147311985492706,3,
9,0.5387586951255798,0,
10,0.2575248032808304,1,
11,,,[  0.   0.   4.   0.   3.   7. 122.   1.  10.   0.]
11,,,[ 9.  5. 25.  0. 13.  0.  0.  4.  0.  0.]
10,0.5387941300868988,0,
11,,,[ 0.  0.  0.  0.  0.  0. 74.  0.  0.  0.]
11,,,[ 0.  0.  0.  0.  0.  0. 55.  3.  0.  0.]
9,0.49571822583675385,1,
10,-0.37765200436115265,3,
11,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
11,,,[ 0.  5. 13.  0. 14.  0.  0.  0.  0.  0.]
10,,,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
8,-0.0031014084815979004,2,
9,-0.6870273351669312,3,
10,-0.7025014460086823,2,
11,,,[  0.   4.  23.   0.  35.   3. 161.  27.   0.   0.]
11,,,[ 0.  0.  5.  0. 12.  0.  0.  0. 19.  0.]
10,-0.40147311985492706,3,
11,,,[ 95.  93. 492.  61. 328.  60. 618. 307. 175.  48.]
11,,,[137.  87. 395.  56. 180.  16. 243. 209. 212. 121.]
9,-0.501223236322403,3,
10,0.37725648283958435,1,
11,,,[ 0.  0.  0.  0.  2.  0.  0. 45.  0.  0.]
11,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
10,0.23557361215353012,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 27.  0.  0.]
11,,,[ 0.  0.  0.  0.  0.  0.  0.  3. 44.  0.]
5,0.5125492215156555,0,
6,-0.5379852652549744,3,
7,0.5878663063049316,1,
8,0.5860860645771027,1,
9,,,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
9,,,[ 0.  0.  0.  0.  0.  0. 58.  0.  0.  0.]
8,0.5897013247013092,1,
9,0.4886132925748825,0,
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 27.]
10,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
9,-0.7439936995506287,2,
10,0.5901405215263367,1,
11,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
