depth,threshold,feature,is_leaf,value
11,-2.0,-2,True,[13. 16. 13.  0. 57.  0.  0. 43. 38.  0.]
8,0.6123839616775513,1,False,[ 0.  0.  0. 19.  1.  0.  0.  0.  0.  0.]
9,-2.0,-2,True,[ 0.  0.  0. 19.  0.  0.  0.  0.  0.  0.]
9,-2.0,-2,True,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
7,0.521047830581665,0,False,[ 0.  5.  0. 90. 19.  0.  0.  8. 27.  0.]
8,0.37525469064712524,0,False,[ 0.  4.  0.  0. 12.  0.  0.  4. 20.  0.]
9,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
9,0.5060656368732452,0,False,[ 0.  4.  0.  0. 12.  0.  0.  4.  8.  0.]
10,0.6031230092048645,1,False,[ 0.  4.  0.  0. 12.  0.  0.  4.  0.  0.]
11,-2.0,-2,True,[ 0.  4.  0.  0. 12.  0.  0.  1.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 0. 8. 0.]
8,0.6007549464702606,0,False,[ 0.  1.  0. 90.  7.  0.  0.  4.  7.  0.]
9,0.5913234651088715,1,False,[ 0.  0.  0. 90.  2.  0.  0.  4.  0.  0.]
10,0.019396796822547913,2,False,[ 0.  0.  0. 90.  2.  0.  0.  3.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0. 90.  2.  0.  0.  0.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
9,0.0641746073961258,2,False,[0. 1. 0. 0. 5. 0. 0. 0. 7. 0.]
10,-0.4520554542541504,2,False,[0. 1. 0. 0. 5. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
10,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
4,0.5010416507720947,0,False,[ 668.  341. 1876.  560.  880.  238. 2406. 1028.  581.  662.]
5,-0.13727368414402008,3,False,[187.  69. 347. 150. 166.  29.  61. 191.  91.  66.]
6,-0.2386639267206192,3,False,[187.  34. 330. 130. 138.  19.  61. 169.  62.   7.]
7,-0.8238925039768219,2,False,[105.  22. 283.  67. 121.  13.  61. 156.  62.   7.]
8,0.4061273783445358,0,False,[ 53.  16. 247.   0.  94.  13.  61. 113.  23.   7.]
9,-0.8860377967357635,2,False,[28.  1. 92.  0. 40.  9. 61. 52.  0.  0.]
10,-0.35366302728652954,3,False,[11.  0. 54.  0. 27.  1.  0. 38.  0.  0.]
11,-2.0,-2,True,[11.  0. 39.  0.  6.  1.  0. 35.  0.  0.]
11,-2.0,-2,True,[ 0.  0. 15.  0. 21.  0.  0.  3.  0.  0.]
10,-0.8779275715351105,2,False,[17.  1. 38.  0. 13.  8. 61. 14.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  5.  0.  4.  0. 61.  0.  0.  0.]
11,-2.0,-2,True,[17.  1. 33.  0.  9.  8.  0. 14.  0.  0.]
9,0.4921194314956665,0,False,[ 25.  15. 155.   0.  54.   4.   0.  61.  23.   7.]
10,0.40878045558929443,0,False,[  5.  14. 132.   0.  45.   3.   0.  42.   9.   0.]
11,-2.0,-2,True,[0. 0. 5. 0. 1. 0. 0. 2. 9. 0.]
11,-2.0,-2,True,[  5.  14. 127.   0.  44.   3.   0.  40.   0.   0.]
10,0.4923250526189804,0,False,[20.  1. 23.  0.  9.  1.  0. 19. 14.  7.]
11,-2.0,-2,True,[20.  0.  0.  0.  1.  0.  0.  4.  0.  0.]
