depth,threshold,feature,value,branches
7,,,"[0, 0, 0, 66, 3219, 48, 0, 108, 174, 0, 0, 79, 153, 0, 63, 741, 0, 78, 115, 197]",
7,,,"[0, 0, 0, 14, 167, 20, 0, 47, 0, 0, 0, 21, 49, 642, 46, 0, 0, 20, 0, 31]",
6,0.8323905169963837,0,,"[237, 238]"
7,,,"[0, 0, 0, 28, 399, 3, 0, 31, 0, 0, 0, 67, 44, 0, 0, 0, 0, 68, 60, 0]",
7,,,"[0, 0, 0, 41, 0, 10, 0, 71, 0, 0, 0, 100, 48, 0, 61, 2487, 0, 123, 114, 38]",
4,0.7849460542201996,0,,"[240, 247]"
5,-0.017212719190865755,3,,"[241, 244]"
6,-0.7025014460086823,2,,"[242, 243]"
7,,,"[1280, 661, 0, 610, 0, 300, 218, 1196, 2029, 1084, 105, 707, 188, 0, 1591, 0, 339, 646, 392, 479]",
7,,,"[456, 696, 0, 177, 0, 167, 885, 217, 539, 877, 421, 781, 39, 307, 249, 0, 347, 454, 530, 37]",
6,-0.793542206287384,2,,"[245, 246]"
7,,,"[853, 0, 0, 941, 0, 2335, 1250, 842, 329, 2069, 0, 461, 1646, 0, 755, 0, 2427, 415, 138, 1152]",
7,,,"[805, 2535, 0, 1772, 192, 1129, 1935, 830, 274, 862, 0, 998, 1161, 0, 609, 0, 551, 1215, 1446, 847]",
5,0.8916657567024231,0,,"[248, 251]"
6,0.3106462061405182,1,,"[249, 250]"
7,,,"[313, 0, 0, 208, 0, 127, 0, 189, 228, 0, 0, 233, 241, 2889, 110, 0, 0, 207, 257, 440]",
7,,,"[171, 0, 0, 36, 0, 30, 0, 35, 0, 0, 0, 30, 31, 0, 176, 0, 0, 39, 10, 0]",
6,0.5379852652549744,3,,"[252, 253]"
7,,,"[0, 0, 0, 80, 0, 78, 119, 101, 214, 0, 0, 98, 83, 0, 76, 111, 0, 114, 106, 143]",
