depth,threshold,feature,value
11,,,[ 5.  7. 50.  0. 20.  0.  0.  7. 26. 16.]
11,,,[ 32.  24.  64.   0.  31.  23.   0.  39.  44. 158.]
9,0.22620433568954468,1,
10,0.12082749605178833,1,
11,,,[ 0.  6. 10.  0.  5.  4. 50.  5.  0.  0.]
11,,,[ 13.  19. 105.   0.  41.  19.   0.  88.  69.  49.]
10,-0.17128679901361465,3,
11,,,[  0.   3.  17.   0.  10.   2. 117.   3.   0.   0.]
11,,,[ 0.  5.  8.  0.  1.  8.  0.  8.  0. 34.]
8,-0.21348927915096283,3,
9,0.44681739807128906,1,
10,-0.25534383952617645,3,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0. 96.  0.  0.  0.]
10,,,[0. 4. 0. 0. 0. 0. 0. 0. 0. 0.]
9,0.7582796812057495,0,
10,0.4204675257205963,1,
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 2. 0. 0. 2. 3. 0. 0. 0. 0.]
10,-0.9871078729629517,2,
11,,,[0. 0. 1. 0. 1. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 19.]
7,0.7337896525859833,0,
8,-0.9353333115577698,2,
9,-0.3212577700614929,3,
10,0.6738667786121368,0,
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
11,,,[ 0.  0. 23.  0.  0.  0.  0.  2.  0.  0.]
10,0.6860503256320953,0,
11,,,[ 0.  0. 16.  0.  0.  0.  0.  2.  0.  0.]
11,,,[0. 3. 7. 0. 8. 0. 0. 4. 0. 0.]
9,-0.8429103195667267,2,
10,0.6816855669021606,0,
11,,,[ 0.  6. 23.  0. 14.  0.  0.  6. 41.  0.]
11,,,[ 0.  4. 67.  0. 13.  0.  0. 31. 23. 31.]
10,0.1423764005303383,1,
11,,,[ 0.  0.  1.  0.  1.  0.  0.  0. 13.  0.]
11,,,[ 0.  4. 14.  0. 29.  0.  0. 18.  0.  0.]
8,0.734912633895874,0,
9,-0.9150163233280182,2,
10,,,[ 0.  0.  0.  0.  0.  0. 65.  0.  0.  0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 7. 0. 0.]
9,-0.8238925039768219,2,
10,-0.4327595680952072,3,
11,,,[25.  9. 72.  0. 56. 37. 48. 65. 21.  0.]
11,,,[ 11.  17. 111.   0.  49.   6.   0.  81.  28.  11.]
10,-0.570237010717392,3,
11,,,[ 23.   4.  49.   0.  54.   3. 133.  47.  19.  17.]
11,,,[ 0.  0.  0.  0.  0.  3.  0. 28.  0.  0.]
3,-0.6870273351669312,3,
4,0.4906827211380005,0,
5,-0.8063604533672333,3,
6,0.3439158648252487,0,
7,0.6776228547096252,1,
8,0.1921156719326973,0,
9,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
9,,,[32.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
8,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
7,0.7337508201599121,1,
8,-0.05566655658185482,2,
9,0.4706011414527893,0,
10,0.7198644876480103,1,
11,,,[  0.   0.   0. 269.   4.   0.   0.   0.   0.   0.]
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
10,0.6966468095779419,1,
11,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
11,,,[ 0.  0.  0. 40.  0.  0.  0.  0.  0.  0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
8,0.4050270915031433,0,
9,-0.463469535112381,2,
10,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
10,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
9,0.4434840530157089,0,
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
6,-0.6118637323379517,2,
7,-0.7747692167758942,3,
8,,,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
8,-0.6838180720806122,2,
9,0.4474397897720337,0,
10,,,[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
10,,,[ 0.  0.  0. 48.  0.  0.  0.  0.  0.  0.]
9,0.48018795251846313,0,
10,0.7276602983474731,1,
11,,,[ 0.  0.  0. 52.  0.  0.  0.  0.  0.  0.]
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
10,,,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
7,,,[ 0.  0.  0. 86.  0.  0.  0.  0.  0.  0.]
5,0.6020435392856598,0,
6,0.673831582069397,1,
7,0.5325618386268616,0,
8,0.6398182809352875,1,
9,0.6197762191295624,1,
10,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,-0.5081071108579636,2,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
9,,,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.]
8,0.5452297329902649,0,
9,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
